id,source_type,num_disambiguations,labels,changed_view_num_pairs,changed_view_cosine_mean,changed_view_cosine_min,changed_view_cosine_max,changed_view_jaccard_mean,changed_view_same_label_cosine_mean,changed_view_cross_label_cosine_mean,changed_view_same_label_jaccard_mean,changed_view_cross_label_jaccard_mean,changed_view_mean_disambig_to_ambiguous_cosine,changed_view_mean_disambig_to_ambiguous_jaccard,changed_view_min_disambig_to_ambiguous_cosine,changed_view_max_disambig_to_ambiguous_cosine,changed_view_mean_disambig_to_distractor_cosine,changed_view_mean_disambig_to_distractor_jaccard,changed_view_min_disambig_to_distractor_cosine,changed_view_max_disambig_to_distractor_cosine,full_pair_view_num_pairs,full_pair_view_cosine_mean,full_pair_view_cosine_min,full_pair_view_cosine_max,full_pair_view_jaccard_mean,full_pair_view_same_label_cosine_mean,full_pair_view_cross_label_cosine_mean,full_pair_view_same_label_jaccard_mean,full_pair_view_cross_label_jaccard_mean,full_pair_view_mean_disambig_to_ambiguous_cosine,full_pair_view_mean_disambig_to_ambiguous_jaccard,full_pair_view_min_disambig_to_ambiguous_cosine,full_pair_view_max_disambig_to_ambiguous_cosine,full_pair_view_mean_disambig_to_distractor_cosine,full_pair_view_mean_disambig_to_distractor_jaccard,full_pair_view_min_disambig_to_distractor_cosine,full_pair_view_max_disambig_to_distractor_cosine
942,premise,2,entailment | neutral,1,0.030051469802856445,0.030051469802856445,0.030051469802856445,0.25,,0.030051469802856445,,0.25,0.049548953771591187,0.4391025641025641,0.04837828874588013,0.050719618797302246,0.2693804204463959,0.554945054945055,0.2642750144004822,0.27448582649230957,1,0.019900202751159668,0.019900202751159668,0.019900202751159668,0.2142857142857143,,0.019900202751159668,,0.2142857142857143,0.024556457996368408,0.2404761904761905,0.024404406547546387,0.02470850944519043,0.2741212248802185,0.28958333333333336,0.2729448080062866,0.2752976417541504
22_c,premise,2,entailment | neutral,1,0.02263963222503662,0.02263963222503662,0.02263963222503662,0.2727272727272727,,0.02263963222503662,,0.2727272727272727,0.019675523042678833,0.1925837320574163,0.011236965656280518,0.02811408042907715,0.07104068994522095,0.27717391304347827,0.06424176692962646,0.07783961296081543,1,0.009665310382843018,0.009665310382843018,0.009665310382843018,0.21739130434782605,,0.009665310382843018,,0.21739130434782605,0.007075488567352295,0.15416666666666667,0.005099654197692871,0.009051322937011719,0.029925256967544556,0.19142857142857145,0.027541935443878174,0.03230857849121094
51435,hypothesis,2,entailment | neutral,1,0.03334158658981323,0.03334158658981323,0.03334158658981323,0.2727272727272727,,0.03334158658981323,,0.2727272727272727,0.01704847812652588,0.21969696969696967,0.015952587127685547,0.01814436912536621,0.03777077794075012,0.36217948717948717,0.03516101837158203,0.04038053750991821,1,0.016479432582855225,0.016479432582855225,0.016479432582855225,0.25,,0.016479432582855225,,0.25,0.009073406457901001,0.20192307692307693,0.0086478590965271,0.009498953819274902,0.01507464051246643,0.260989010989011,0.014573752880096436,0.015575528144836426
52718,premise,2,neutral | entailment,1,0.03852975368499756,0.03852975368499756,0.03852975368499756,0.33333333333333337,,0.03852975368499756,,0.33333333333333337,0.024116426706314087,0.25,0.01628214120864868,0.03195071220397949,0.15507444739341736,0.3666666666666667,0.13941580057144165,0.17073309421539307,1,0.015479326248168945,0.015479326248168945,0.015479326248168945,0.3125,,0.015479326248168945,,0.3125,0.008378058671951294,0.23333333333333334,0.004701018333435059,0.01205509901046753,0.06485754251480103,0.28125,0.060324668884277344,0.06939041614532471
97035,hypothesis,2,entailment | neutral,1,0.11789590120315552,0.11789590120315552,0.11789590120315552,0.25,,0.11789590120315552,,0.25,0.06113418936729431,0.1428571428571429,0.057934463024139404,0.06433391571044922,0.2817365229129791,0.375,0.27876490354537964,0.2847081422805786,1,0.06360423564910889,0.06360423564910889,0.06360423564910889,0.19999999999999996,,0.06360423564910889,,0.19999999999999996,0.03142186999320984,0.11111111111111116,0.026872992515563965,0.03597074747085571,0.14912331104278564,0.30000000000000004,0.13783490657806396,0.16041171550750732
59570,both,2,contradiction | neutral,1,0.05304604768753052,0.05304604768753052,0.05304604768753052,0.23076923076923073,,0.05304604768753052,,0.23076923076923073,0.03227618336677551,0.12878787878787878,0.029856979846954346,0.03469538688659668,0.1659471094608307,0.2582417582417582,0.15783149003982544,0.17406272888183594,1,0.05304604768753052,0.05304604768753052,0.05304604768753052,0.23076923076923073,,0.05304604768753052,,0.23076923076923073,0.03227618336677551,0.12878787878787878,0.029856979846954346,0.03469538688659668,0.1659471094608307,0.2582417582417582,0.15783149003982544,0.17406272888183594
87325,both,4,entailment | neutral | contradiction | contradiction,6,0.03616824746131897,0.0050010085105896,0.05650812387466431,0.3799001924001924,0.048300981521606445,0.03374170064926148,0.47619047619047616,0.36064213564213565,0.037184521555900574,0.4003267973856208,0.025097787380218506,0.05081838369369507,0.16432829201221466,0.46184210526315794,0.14693528413772583,0.18373775482177734,6,0.03616824746131897,0.0050010085105896,0.05650812387466431,0.3799001924001924,0.048300981521606445,0.03374170064926148,0.47619047619047616,0.36064213564213565,0.037184521555900574,0.4003267973856208,0.025097787380218506,0.05081838369369507,0.16432829201221466,0.46184210526315794,0.14693528413772583,0.18373775482177734
89448,premise,2,entailment | neutral,1,0.047011613845825195,0.047011613845825195,0.047011613845825195,0.3076923076923077,,0.047011613845825195,,0.3076923076923077,0.021810531616210938,0.16666666666666669,0.00472944974899292,0.038891613483428955,0.2511928677558899,0.30769230769230765,0.2466646432876587,0.2557210922241211,1,0.02152717113494873,0.02152717113494873,0.02152717113494873,0.2857142857142857,,0.02152717113494873,,0.2857142857142857,0.010036110877990723,0.1538461538461538,0.002977132797241211,0.017095088958740234,0.10731613636016846,0.2142857142857143,0.10183453559875488,0.11279773712158203
60459,premise,2,entailment | neutral,1,0.05621480941772461,0.05621480941772461,0.05621480941772461,0.5,,0.05621480941772461,,0.5,0.05891719460487366,0.37777777777777777,0.057961225509643555,0.05987316370010376,0.38058483600616455,0.43125,0.3796701431274414,0.3814995288848877,1,0.02661895751953125,0.02661895751953125,0.02661895751953125,0.38095238095238093,,0.02661895751953125,,0.38095238095238093,0.02196374535560608,0.27142857142857146,0.016293764114379883,0.027633726596832275,0.26179078221321106,0.3142857142857143,0.2589150071144104,0.2646665573120117
81977,premise,2,entailment | neutral,1,0.007685422897338867,0.007685422897338867,0.007685422897338867,0.09090909090909094,,0.007685422897338867,,0.09090909090909094,0.006778091192245483,0.04545454545454547,0.004773318767547607,0.00878286361694336,0.06712180376052856,0.21590909090909088,0.06618785858154297,0.06805574893951416,1,0.0028073787689208984,0.0028073787689208984,0.0028073787689208984,0.0,,0.0028073787689208984,,0.0,0.005240917205810547,0.0,0.004499316215515137,0.005982518196105957,0.06725448369979858,0.16666666666666663,0.06618046760559082,0.06832849979400635
